Title,Certificate,Rating,Metascore,Scaled Rating,ScaledRating
The Last Thing He Wanted,18,4.4,35.0,44.0,44.0
Spy Kids 3: Game Over,U,4.4,57.0,44.0,44.0
Behaving Badly,R,4.4,18.0,44.0,44.0
Supergirl,U,4.4,41.0,44.0,44.0
Bio-Dome,PG-13,4.4,1.0,44.0,44.0
House Party,R,4.4,41.0,44.0,44.0
Basic Instinct 2,A,4.4,26.0,44.0,44.0
Cinderella,UA 7+,4.4,41.0,44.0,44.0
He's All That,13,4.4,36.0,44.0,44.0
Look Who's Talking Now,UA,4.4,26.0,44.0,44.0
Jason X,A,4.4,25.0,44.0,44.0
Alvin and the Chipmunks: Chipwrecked,U,4.4,24.0,44.0,44.0
Fat Albert,PG,4.4,39.0,44.0,44.0
The Grudge,A,4.4,41.0,44.0,44.0
Zoom,U,4.4,26.0,44.0,44.0
Cell,R,4.4,38.0,44.0,44.0
Knights of the Zodiac,PG-13,4.4,35.0,44.0,44.0
Peter Pan & Wendy,UA 7+,4.4,61.0,44.0,44.0
Out of the Blue,R,4.4,39.0,44.0,44.0
The Human Centipede (First Sequence),A,4.4,33.0,44.0,44.0
The Shaggy Dog,U,4.4,43.0,44.0,44.0
Striptease,R,4.5,37.0,45.0,45.0
Grease 2,A,4.5,52.0,45.0,45.0
Bitch Slap,R,4.5,19.0,45.0,45.0
Midnight in the Switchgrass,R,4.5,24.0,45.0,45.0
Taxi,U,4.5,27.0,45.0,45.0
Death Note,18,4.5,43.0,45.0,45.0
Species II,A,4.5,19.0,45.0,45.0
The Munsters,PG,4.5,57.0,45.0,45.0
The Misfits,R,4.5,25.0,45.0,45.0
Nurse 3-D,R,4.5,29.0,45.0,45.0
The Next Karate Kid,U,4.5,36.0,45.0,45.0
Skinwalkers,R,4.5,33.0,45.0,45.0
Little Man,PG-13,4.5,26.0,45.0,45.0
Poolman,R,4.5,29.0,45.0,45.0
Sex and the City 2,A,4.5,27.0,45.0,45.0
Fifty Shades Freed,18,4.5,31.0,45.0,45.0
Alvin and the Chipmunks: The Squeakquel,U,4.5,41.0,45.0,45.0
Samson,PG-13,4.5,17.0,45.0,45.0
xXx: State of the Union,U,4.5,37.0,45.0,45.0
Space Jam: A New Legacy,U,4.5,36.0,45.0,45.0
Rings,A,4.5,25.0,45.0,45.0
Soul Plane,R,4.5,33.0,45.0,45.0
Friday the 13th Part VIII: Jason Takes Manhattan,15+,4.5,14.0,45.0,45.0
Nutty Professor II: The Klumps,PG-13,4.5,38.0,45.0,45.0
Kangaroo Jack,U,4.5,16.0,45.0,45.0
Skyline,PG-13,4.5,26.0,45.0,45.0
Postal,R,4.5,22.0,45.0,45.0
Wild Orchid,A,4.5,19.0,45.0,45.0
Ouija,A,4.5,38.0,45.0,45.0
Dark Crimes,R,4.6,24.0,46.0,46.0
The Lair,A,4.6,41.0,46.0,46.0
Cash Out,R,4.6,49.0,46.0,46.0
Paranormal Activity 4,A,4.6,40.0,46.0,46.0
Psycho,A,4.6,47.0,46.0,46.0
Driven,U,4.6,29.0,46.0,46.0
Fifty Shades Darker,A,4.6,33.0,46.0,46.0
Firestarter,A,4.6,32.0,46.0,46.0
AVPR: Aliens vs Predator - Requiem,R,4.6,29.0,46.0,46.0
The Island of Dr. Moreau,A,4.6,37.0,46.0,46.0
God's Not Dead,PG,4.6,16.0,46.0,46.0
On Deadly Ground,UA,4.6,33.0,46.0,46.0
Padre Pio,R,4.6,41.0,46.0,46.0
Thunder Force,13,4.6,34.0,46.0,46.0
Cheaper by the Dozen,UA 7+,4.6,42.0,46.0,46.0
Police Academy 5: Assignment: Miami Beach,U,4.6,18.0,46.0,46.0
Paranormal Activity: The Ghost Dimension,A,4.6,30.0,46.0,46.0
3 Ninjas Kick Back,PG,4.6,39.0,46.0,46.0
Max Steel,PG-13,4.6,22.0,46.0,46.0
Force of Nature,A,4.6,29.0,46.0,46.0
Madea Goes to Jail,PG-13,4.6,50.0,46.0,46.0
Troll,UA,4.6,30.0,46.0,46.0
Pet Sematary: Bloodlines,R,4.6,31.0,46.0,46.0
Body of Evidence,A,4.6,29.0,46.0,46.0
The Craft: Legacy,UA,4.6,54.0,46.0,46.0
Dashcam,R,4.6,48.0,46.0,46.0
The Devil Conspiracy,R,4.6,37.0,46.0,46.0
The Unborn,PG-13,4.7,30.0,47.0,47.0
Friday the 13th: A New Beginning,A,4.7,16.0,47.0,47.0
Perfect,A,4.7,46.0,47.0,47.0
Deuce Bigalow: European Gigolo,A,4.7,23.0,47.0,47.0
Assassin Club,R,4.7,27.0,47.0,47.0
Zoolander 2,U,4.7,34.0,47.0,47.0
Girl on the Third Floor,18,4.7,65.0,47.0,47.0
Fool's Paradise,R,4.7,27.0,47.0,47.0
Black Christmas,R,4.7,22.0,47.0,47.0
The Boy Next Door,A,4.7,30.0,47.0,47.0
Capone,R,4.7,46.0,47.0,47.0
Junior,U,4.7,59.0,47.0,47.0
Imaginary,PG-13,4.7,34.0,47.0,47.0
Boxing Helena,A,4.7,25.0,47.0,47.0
9 Songs,15+,4.7,43.0,47.0,47.0
Jonah Hex,PG-13,4.7,33.0,47.0,47.0
Like a Boss,A,4.7,33.0,47.0,47.0
Halloween: The Curse of Michael Myers,A,4.7,10.0,47.0,47.0
The Bubble,A,4.7,34.0,47.0,47.0
Monstrous,PG-13,4.7,52.0,47.0,47.0
Brahms: The Boy II,A,4.7,29.0,47.0,47.0
The Spirit,PG-13,4.7,30.0,47.0,47.0
A Madea Family Funeral,PG-13,4.7,39.0,47.0,47.0
Umma,PG-13,4.7,51.0,47.0,47.0
Superhero Movie,Not Rated,4.7,33.0,47.0,47.0
The Good Mother,R,4.7,45.0,47.0,47.0
Night Swim,PG-13,4.7,43.0,47.0,47.0
Snatched,R,4.7,45.0,47.0,47.0
Pulse,PG-13,4.7,29.0,47.0,47.0
Interceptor,UA 16+,4.7,51.0,47.0,47.0
Manodrome,R,4.7,48.0,47.0,47.0
Texas Chainsaw Massacre,18,4.7,34.0,47.0,47.0
I Still Know What You Did Last Summer,A,4.7,21.0,47.0,47.0
Howard the Duck,U,4.7,28.0,47.0,47.0
Freddy Got Fingered,A,4.7,13.0,47.0,47.0
Freddy's Dead: The Final Nightmare,UA,4.7,39.0,47.0,47.0
We Can Be Heroes,7,4.7,51.0,47.0,47.0
Elektra,UA,4.7,34.0,47.0,47.0
Tayna pechati drakona,UA,4.7,34.0,47.0,47.0
